Processes: 384 total, 3 running, 381 sleeping, 1581 threads 
2019/10/10 08:50:40
Load Avg: 1.29, 1.31, 1.38 
CPU usage: 6.95% user, 9.56% sys, 83.47% idle 
SharedLibs: 322M resident, 50M data, 32M linkedit.
MemRegions: 80008 total, 3302M resident, 134M private, 1742M shared.
PhysMem: 11G used (2456M wired), 5439M unused.
VM: 2561G vsize, 1371M framework vsize, 839190(0) swapins, 1132923(0) swapouts.
Networks: packets: 473279/498M in, 596356/65M out.
Disks: 785930/11G read, 255904/8490M written.

PID   COMMAND          %CPU TIME     #TH    #WQ #PORTS MEM    PURG   CMPRS  PGRP PPID STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW   POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
849   mdworker_shared  0.0  00:08.02 4      1   60+    14M+   0B     4956K+ 849  1    sleeping *0[1+]      0.00000 0.00000    501 484767+  189+   24832+    9759+     105226+   78122+    14309+    156+    3       0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
835   coreautha        0.0  00:01.05 3      1   188+   12M+   0B     6032K+ 835  1    sleeping *0[212+]    0.00000 0.00000    501 11957+   301+   11357+    4014+     14653+    34235+    18886+    114+    893     0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
830   USBAgent         0.0  00:00.03 2      2   32+    2548K+ 0B     2212K+ 830  1    sleeping  0[0]       0.00000 0.00000    501 3626+    144+   318+      117+      1127+     650+      1210+     14+     10      0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
827   diskmanagementd  0.0  00:00.05 9      1   108+   1848K+ 0B     1108K+ 827  1    sleeping *0[1+]      0.00000 0.00000    0   2574+    202+   854+      331+      1277+     1664+     1522+     40+     29      0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
773   applessdstatisti 0.0  00:00.02 2      1   32+    908K+  0B     900K+  773  1    sleeping *0[1+]      0.00000 0.00000    0   1893+    128+   210+      94+       526+      363+      83+       8+      8       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
672   com.apple.PhotoI 0.0  00:00.07 2      2   39+    1620K+ 0B     1160K+ 672  1    sleeping *0[1+]      0.00000 0.00000    501 6480+    167+   160+      164+      1395+     492+      501+      1+      13      0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
671   photoanalysisd   0.0  00:01.46 2      1   75+    18M+   0B     17M+   671  1    sleeping *0[4+]      0.00000 0.00000    501 17496+   874+   3861+     1069+     26377+    6766+     7836+     1588+   371     0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
670   com.apple.photom 0.0  00:00.24 2      1   48+    8256K+ 0B     7424K+ 670  1    sleeping *0[1+]      0.00000 0.00000    501 9700+    614+   567+      347+      2859+     1624+     2022+     96+     32      0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
669   ScopedBookmarkAg 0.0  00:00.18 2      2   46+    2980K+ 0B     1500K+ 669  1    sleeping *0[35+]     0.00000 0.00000    501 4440+    148+   503+      835+      6392+     1448+     3095+     5+      44      0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
668   photolibraryd    0.0  00:01.49 2      2   63+    12M+   0B     11M+   668  1    sleeping *0[1+]      0.00000 0.00000    501 11276+   421+   5147+     1861+     24726+    11680+    6145+     645+    13      0.0   0      0      polinaturiseva     N/A    N/A   N/A   N/A   N/A   N/A  
